=============== HYPERPARAMETER SETTING ===============
mode : train
lr : 0.001
epochs : 10
batch_size : 64
num_hidden : 256
max_norm : 5.0
lstm_layer : 2
lstm_bidirectional : True
embed_trainable : False
=============== DATA PROCESSING ===============
Statistics of Label Mapping:
* Class: {0: 'ABBREVIATION', 1: 'ENTITY', 2: 'DESCRIPTION', 3: 'HUMAN', 4: 'LOCATION', 5: 'NUMERIC'}
+ Total: 6
Statistics of Training Set:
* Number of data in class ABB: 180
* Number of data in class ENT: 1800
* Number of data in class DES: 1800
* Number of data in class HUM: 1800
* Number of data in class LOC: 1800
* Number of data in class NUM: 1800
+ Total: 9180
Statistics of Validation Set:
* Number of data in class ABB: 20
* Number of data in class ENT: 200
* Number of data in class DES: 200
* Number of data in class HUM: 200
* Number of data in class LOC: 200
* Number of data in class NUM: 200
+ Total: 1020
Statistics of Test Set:
* Number of data in class ABB: 9
* Number of data in class ENT: 94
* Number of data in class DES: 138
* Number of data in class HUM: 65
* Number of data in class LOC: 81
* Number of data in class NUM: 113
+ Total: 500
=============== LOAD EMBEDDINGS ===============
embeddings_shape:(4164, 300)
vocab_size:4164
=============== MODEL TRAINING ===============
iter=10, loss=1.729828, acc=0.1406
iter=20, loss=1.638857, acc=0.2656
iter=30, loss=1.661862, acc=0.2812
iter=40, loss=1.746484, acc=0.1875
iter=50, loss=1.660394, acc=0.2500
iter=60, loss=1.712772, acc=0.1719
iter=70, loss=1.595451, acc=0.2656
iter=80, loss=1.541226, acc=0.3750
iter=90, loss=1.505364, acc=0.2969
iter=100, loss=1.471655, acc=0.4531
iter=110, loss=1.534731, acc=0.2656
iter=120, loss=1.454968, acc=0.3594
iter=130, loss=1.406802, acc=0.3438
iter=140, loss=1.440675, acc=0.3438
iter=150, loss=1.371135, acc=0.3438
iter=160, loss=1.298817, acc=0.4531
iter=170, loss=1.575498, acc=0.2969
iter=180, loss=1.310564, acc=0.3906
iter=190, loss=1.422570, acc=0.4531
iter=200, loss=1.302092, acc=0.3281
iter=210, loss=1.154297, acc=0.4844
iter=220, loss=1.285021, acc=0.3594
iter=230, loss=1.196404, acc=0.4531
iter=240, loss=1.031487, acc=0.5469
iter=250, loss=1.217115, acc=0.4375
iter=260, loss=1.197821, acc=0.5000
iter=270, loss=1.207613, acc=0.5156
iter=280, loss=1.014755, acc=0.6250
iter=290, loss=0.882021, acc=0.6250
iter=300, loss=0.799144, acc=0.6875
iter=310, loss=0.753558, acc=0.8281
iter=320, loss=0.737333, acc=0.7344
iter=330, loss=0.895780, acc=0.7344
iter=340, loss=0.684609, acc=0.7969
iter=350, loss=0.854120, acc=0.7500
iter=360, loss=0.928885, acc=0.7344
iter=370, loss=0.691105, acc=0.7656
iter=380, loss=1.032779, acc=0.5938
iter=390, loss=0.543691, acc=0.6719
iter=400, loss=0.807199, acc=0.6094
iter=410, loss=0.860565, acc=0.6562
iter=420, loss=0.754137, acc=0.7656
iter=430, loss=0.621345, acc=0.7500
