=============== HYPERPARAMETER SETTING ===============
mode : train
lr : 0.001
epochs : 10
batch_size : 64
num_classes : 6
max_norm : 5.0
embed_trainable : False
kernel_sizes : [2, 3, 4]
device : cuda:0
p : 0.5
c_out : 32
=============== LOAD EMBEDDINGS ===============
embeddings_shape:(4164, 300)
vocab_size:4164
=============== MODEL TRAINING ===============
iter=10, loss=1.694195, acc=0.2969
iter=20, loss=1.663961, acc=0.3125
iter=30, loss=1.505071, acc=0.4375
iter=40, loss=1.448014, acc=0.5000
iter=50, loss=1.351017, acc=0.5781
iter=60, loss=1.242325, acc=0.5781
iter=70, loss=1.062546, acc=0.6719
iter=80, loss=1.031323, acc=0.5938
iter=90, loss=0.932608, acc=0.7188
iter=100, loss=0.796330, acc=0.7188
iter=110, loss=0.775713, acc=0.7500
iter=120, loss=0.775891, acc=0.6875
iter=130, loss=0.727104, acc=0.7812
iter=140, loss=0.746720, acc=0.7500
iter=150, loss=0.870216, acc=0.7188
iter=160, loss=0.584557, acc=0.8125
iter=170, loss=0.488410, acc=0.8750
iter=180, loss=0.561111, acc=0.8281
iter=190, loss=0.499028, acc=0.8125
iter=200, loss=0.501920, acc=0.7969
iter=210, loss=0.286754, acc=0.8906
iter=220, loss=0.393351, acc=0.8750
iter=230, loss=0.527572, acc=0.8281
iter=240, loss=0.361476, acc=0.8594
iter=250, loss=0.372408, acc=0.9219
iter=260, loss=0.256682, acc=0.9375
iter=270, loss=0.275799, acc=0.9375
iter=280, loss=0.291550, acc=0.9375
iter=290, loss=0.310889, acc=0.8906
iter=300, loss=0.245694, acc=0.9375
iter=310, loss=0.210519, acc=0.9219
iter=320, loss=0.324592, acc=0.8906
iter=330, loss=0.309266, acc=0.9062
iter=340, loss=0.331284, acc=0.9062
iter=350, loss=0.372088, acc=0.8906
iter=360, loss=0.161215, acc=0.9531
iter=370, loss=0.220508, acc=0.9375
iter=380, loss=0.251822, acc=0.9219
iter=390, loss=0.252364, acc=0.9062
iter=400, loss=0.244240, acc=0.9219
iter=410, loss=0.245677, acc=0.9219
iter=420, loss=0.178737, acc=0.9688
iter=430, loss=0.266307, acc=0.9375
iter=440, loss=0.235290, acc=0.9375
iter=450, loss=0.138641, acc=0.9531
iter=460, loss=0.296689, acc=0.8750
iter=470, loss=0.124610, acc=0.9844
iter=480, loss=0.131914, acc=0.9688
iter=490, loss=0.082465, acc=1.0000
iter=500, loss=0.078798, acc=0.9844
iter=510, loss=0.176706, acc=0.9688
iter=520, loss=0.253279, acc=0.9531
iter=530, loss=0.184929, acc=0.9688
iter=540, loss=0.174906, acc=0.9688
iter=550, loss=0.197370, acc=0.9375
iter=560, loss=0.127594, acc=0.9531
iter=570, loss=0.095796, acc=0.9844
